PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords,pub_types,mesh_terms,llm_suggest,overall_score,overall_justification,include,confidence,screening_stage,screening_mode,screening_strategy,screening_profile,screening_topic,screening_disease,model,prompt_tokens,completion_tokens,total_tokens,wall_time_ms,parse_error,api_error,disease_score,disease_justification,population_score,population_justification,location_score,location_justification,evidence_score,evidence_justification,parameter_score,parameter_justification
36801633,"Monkeypox (mpox) virus: Classification, origin, transmission, genome organization, antiviral drugs, and molecular diagnosis.","Aysel Karagoz, Huseyin Tombuloglu, Moneerah Alsaeed, Guzin Tombuloglu, Abdullah A AlRubaish, Amal Mahmoud, Samira Smajlović, Sabahudin Ćordić, Ali A Rabaan, Ebtesam Alsuhaimi",Journal of infection and public health. 2023. doi: 10.1016/j.jiph.2023.02.003..,Karagoz,Journal of infection and public health,2023,2023/02/09,,,10.1016/j.jiph.2023.02.003,"Monkeypox virus (MPXV) is a double-stranded DNA virus belonging to the Poxviridae family of the genus Orthopoxvirus with two different clades known as West African and Congo Basin. Monkeypox (MPX) is a zoonosis that arises from the MPXV and causes a smallpox-like disease. The endemic disease status of MPX was updated to an outbreak worldwide in 2022. Thus, the condition was declared a global health emergency independent of travel issues, accounting for the primary reason for its prevalence outside Africa. In addition to identified transmission mediators through animal-to-human and human-to-human, especially sexual transmission among men who have sex with men came to prominence in the 2022 global outbreak. Although the severity and prevalence of the disease differ depending on age and gender, some symptoms are commonly observed. Clinical signs such as fever, muscle and headache pain, swollen lymph nodes, and skin rashes in defined body regions are standard and an indicator for the first step of diagnosis. By following the clinical signs, laboratory diagnostic tests like conventional polymerase chain reaction (PCR) or real-time PCR (RT-PCR) are the most common and accurate diagnostic methods. Antiviral drugs such as tecovirimat, cidofovir, and brincidofovir are used for symptomatic treatment. There is no MPXV-specific vaccine; however, currently available vaccines against smallpox enhance the immunization rate. This comprehensive review covers the MPX disease history and the current state of knowledge by assessing broad topics and views related to disease origin, transmission, epidemiology, severity, genome organization and evolution, diagnosis, treatment, and prevention.",Diagnosis; Genome; Monkeypox virus; Mpox; Susceptibility; Transmission,Journal Article; Review,"[MeSH] Male; [MeSH] Animals; [MeSH] Humans; [MeSH] Monkeypox virus; [MeSH] Mpox, Monkeypox; [MeSH] Antiviral Agents; [MeSH] Smallpox; [MeSH] Homosexuality, Male; [MeSH] Sexual and Gender Minorities",possible_candidate,2,"The paper discusses the transmission, genome organization, and diagnosis of mpox, which are relevant to the question.",true,0.5,title_abstract,simple_prompt,leads_mistral_simple,MP10,serial_interval,mpox,zifeng-ai/leads-mistral-7b-v1,533,35,568,515.0,,,,,,,,,,,,
36403582,Monkeypox.,"Oriol Mitjà, Dimie Ogoina, Boghuma K Titanji, Cristina Galvan, Jean-Jacques Muyembe, Michael Marks, Chloe M Orkin","Lancet (London, England). 2022. doi: 10.1016/S0140-6736(22)02075-X..",Mitjà,"Lancet (London, England)",2023,2022/11/17,,,10.1016/S0140-6736(22)02075-X,"Monkeypox is a zoonotic illness caused by the monkeypox virus, an Orthopoxvirus in the same genus as the variola, vaccinia, and cowpox viruses. Since the detection of the first human case in the Democratic Republic of the Congo in 1970, the disease has caused sporadic infections and outbreaks, mainly restricted to some countries in west and central Africa. In July, 2022, WHO declared monkeypox a Public Health Emergency of International Concern, on account of the unprecedented global spread of the disease outside previously endemic countries in Africa and the need for global solidarity to address this previously neglected disease. The 2022 outbreak has been primarily associated with close intimate contact (including sexual activity) and most cases have been diagnosed among men who have sex with men, who often present with novel epidemiological and clinical characteristics. In the 2022 outbreak, the incubation period ranges from 7 days to 10 days and most patients present with a systemic illness that includes fever and myalgia and a characteristic rash, with papules that evolve to vesicles, pustules, and crusts in the genital, anal, or oral regions and often involve the mucosa. Complications that require medical treatment (eg, antiviral therapy, antibacterials, and pain control) occur in up to 40% of patients and include rectal pain, odynophagia, penile oedema, and skin and anorectal abscesses. Most patients have a self-limited illness; between 1% and 13% require hospital admission (for treatment or isolation), and the case-fatality rate is less than 0·1%. A diagnosis can be made through the presence of Orthopoxvirus DNA in PCRs from lesion swabs or body fluids. Patients with severe manifestations and people at risk of severe disease (eg, immunosuppressed people) could benefit from antiviral treatment (eg, tecovirimat). The current strategy for post-exposure prophylaxis or pre-exposure prophylaxis for people at high risk is vaccination with the non-replicating modified vaccinia Ankara. Antiviral treatment and vaccines are not yet available in endemic countries in Africa.","[MeSH] Male; [MeSH] Humans; [MeSH] Mpox, Monkeypox; [MeSH] Vaccinia; [MeSH] Homosexuality, Male; [MeSH] Sexual and Gender Minorities; [MeSH] Exanthema; [MeSH] Pain; [MeSH] Antiviral Agents",Journal Article; Review,"[MeSH] Male; [MeSH] Humans; [MeSH] Mpox, Monkeypox; [MeSH] Vaccinia; [MeSH] Homosexuality, Male; [MeSH] Sexual and Gender Minorities; [MeSH] Exanthema; [MeSH] Pain; [MeSH] Antiviral Agents",possible_candidate,2,"The abstract mentions the incubation period and clinical characteristics, which are relevant to the question.",true,0.5,title_abstract,simple_prompt,leads_mistral_simple,MP10,serial_interval,mpox,zifeng-ai/leads-mistral-7b-v1,642,31,673,454.3,,,,,,,,,,,,
39401235,"Mpox Clinical Presentation, Diagnostic Approaches, and Treatment Strategies: A Review.","Boghuma K Titanji, Aniruddha Hazra, Jason Zucker",JAMA. 2024. doi: 10.1001/jama.2024.21091..,Titanji,JAMA,2024,2024/11/19,,,10.1001/jama.2024.21091,"IMPORTANCE: A global outbreak of clade IIb Monkeypox virus (MPXV) infections spread rapidly across at least 118 countries resulting in a Public Health Emergency of International Concern (PHEIC) from July 2022 to May 2023. This outbreak affected more than 99 000 persons worldwide and caused more than 33 000 infections and 60 deaths in the US. In 2024, there have been approximately 200 new infections per month in the US. On August 14, 2024, the World Health Organization declared mpox a PHEIC for a second time due to a rapid increase in infections with clade I MPXV in Central Africa. OBSERVATIONS: Mpox is primarily acquired through direct skin to skin contact with MPXV. With clade IIb MPXV, infections are most commonly associated with sexual activity among individuals who are gay, bisexual, and other men who have sex with men. After a median incubation period of 7 to 10 days, prodromal symptoms include fever (62%-72%), lymphadenopathy (56%-86%), myalgias (31%-55%), malaise (23%-57%), and headache (25%-55%). Skin lesions progress through 4 well-defined stages (macules, papules, vesicles, and pustules) over 2 to 4 weeks. Clade IIb MPXV is typically a self-limited illness with a low mortality rate (<0.2% in the US); however, severe illness and death may occur in immunocompromised individuals, especially those with advanced HIV (CD4 count <200 cells/μL). Mpox should be suspected in patients with potential exposure to MPXV who have skin lesions, and the diagnosis is confirmed with polymerase chain reaction testing of lesions. Management is supportive and focuses on skin care and symptom relief with analgesics. While no antiviral treatments are currently approved for mpox by the US Food and Drug Administration, several therapeutics, such as tecovirimat, brincidofovir, and vaccinia immune globulin intravenous, are available through expanded access programs or clinical trials. Vaccination with the 2-dose Modified Vaccinia Ankara-Bavarian Nordic vaccine is recommended for high-incidence populations and has an efficacy of 66% to 86%. CONCLUSIONS AND RELEVANCE: Mpox is a viral infection transmitted primarily through close skin to skin contact that typically causes a self-resolving illness but can result in severe illness and death in immunocompromised individuals. First-line therapy is supportive care, although patients with severe mpox infection may be treated with advanced therapeutics. Mpox vaccination is effective and, if available, should be offered to individuals at risk of exposure to mpox.","[MeSH] Humans; [MeSH] Male; [MeSH] Antiviral Agents; [MeSH] Disease Outbreaks; [MeSH] Monkeypox virus; [MeSH] Mpox, Monkeypox; [MeSH] Immunoglobulins, Intravenous; [MeSH] Smallpox Vaccine; [MeSH] Polymerase Chain Reaction; [MeSH] Palliative Care; [MeSH] Sexual and Gender Minorities; [MeSH] Skin; [MeSH] Female; [MeSH] Benzamides; [MeSH] Phthalimides; [MeSH] Cytosine; [MeSH] Organophosphonates; [MeSH] Immunoglobulin G; [MeSH] Vaccines, Attenuated","Journal Article; Review; Research Support, U.S. Gov't, P.H.S.","[MeSH] Humans; [MeSH] Male; [MeSH] Antiviral Agents; [MeSH] Disease Outbreaks; [MeSH] Monkeypox virus; [MeSH] Mpox, Monkeypox; [MeSH] Immunoglobulins, Intravenous; [MeSH] Smallpox Vaccine; [MeSH] Polymerase Chain Reaction; [MeSH] Palliative Care; [MeSH] Sexual and Gender Minorities; [MeSH] Skin; [MeSH] Female; [MeSH] Benzamides; [MeSH] Phthalimides; [MeSH] Cytosine; [MeSH] Organophosphonates; [MeSH] Immunoglobulin G; [MeSH] Vaccines, Attenuated",unlikely_candidate,0,"The paper focuses on mpox clinical presentation, diagnosis, and treatment, not on serial intervals, generation time, or R0/Rt.",false,0.5,title_abstract,simple_prompt,leads_mistral_simple,MP10,serial_interval,mpox,zifeng-ai/leads-mistral-7b-v1,821,40,861,636.3,,,,,,,,,,,,
38801568,"Monkeypox: Past, Present, and Future.","Gulfaraz Khan, Nighat Perveen",Advances in experimental medicine and biology. 2024. doi: 10.1007/978-3-031-57165-7_1..,Khan,Advances in experimental medicine and biology,2024,2024/01/01,,,10.1007/978-3-031-57165-7_1,"Monkeypox (Mpox) is a zoonotic disease caused by a virus (monkeypox virus-MPV) belonging to the Poxviridae family. In humans, the disease has an incubation period of 5-21 days and then progresses in two phases, the prodromal phase and the rash phase. The prodromal phase is characterized by non-specific symptoms such as fever, muscle pain, malaise, lymphadenopathy, headache, and chills. Skin lesions appear in the rash phase of the disease. These lesions progress through different stages (macules, papules, vesicles, and pustules). In May 2022, WHO reported an outbreak of human Mpox in several countries which were previously Mpox-free. As per the CDC report of March 01, 2023, a total of 86,231 confirmed cases of Mpox and 105 deaths have been reported from 110 countries and territories across the globe. Notably, more than 90% of these countries were reporting Mpox for the first time. The phylogenetic analysis revealed that this outbreak was associated with the virus from the West African clade. However, most of the cases in this outbreak had no evidence of travel histories to MPV-endemic countries in Central or West Africa. This outbreak was primarily driven by the transmission of the virus via intimate contact in men who have sex with men (MSM). The changing epidemiology of Mpox raised concerns about the increasing spread of the disease in non-endemic countries and the urgent need to control and prevent it. In this chapter, we present all the documented cases of Mpox from 1970 to 2023 and discuss the past, present, and future of MPV.",Distribution; Epidemiology; MPV strains; Monkeypox; Monkeypox virus; Prevalence; Transmission,Journal Article; Review,"[MeSH] Animals; [MeSH] Humans; [MeSH] Disease Outbreaks; [MeSH] Monkeypox virus; [MeSH] Mpox, Monkeypox; [MeSH] Phylogeny; [MeSH] Zoonoses",unlikely_candidate,0,"The paper discusses the epidemiology of mpox but does not provide specific data on serial intervals, generation time, or R0/Rt.",false,0.5,title_abstract,simple_prompt,leads_mistral_simple,MP10,serial_interval,mpox,zifeng-ai/leads-mistral-7b-v1,536,42,578,658.6,,,,,,,,,,,,
35866746,Monkeypox Virus Infection in Humans across 16 Countries - April-June 2022.,"John P Thornhill, Sapha Barkati, Sharon Walmsley, Juergen Rockstroh, Andrea Antinori, Luke B Harrison, Romain Palich, Achyuta Nori, Iain Reeves, Maximillian S Habibi, Vanessa Apea, Christoph Boesecke, Linos Vandekerckhove, Michal Yakubovsky, Elena Sendagorta, Jose L Blanco, Eric Florence, Davide Moschese, Fernando M Maltez, Abraham Goorhuis, Valerie Pourcher, Pascal Migaud, Sebastian Noe, Claire Pintado, Fabrizio Maggi, Ann-Brit E Hansen, Christian Hoffmann, Jezer I Lezama, Cristina Mussini, AnnaMaria Cattelan, Keletso Makofane, Darrell Tan, Silvia Nozza, Johannes Nemeth, Marina B Klein, Chloe M Orkin",The New England journal of medicine. 2022. doi: 10.1056/NEJMoa2207323..,Thornhill,The New England journal of medicine,2022,2022/07/21,,,10.1056/NEJMoa2207323,"BACKGROUND: Before April 2022, monkeypox virus infection in humans was seldom reported outside African regions where it is endemic. Currently, cases are occurring worldwide. Transmission, risk factors, clinical presentation, and outcomes of infection are poorly defined. METHODS: We formed an international collaborative group of clinicians who contributed to an international case series to describe the presentation, clinical course, and outcomes of polymerase-chain-reaction-confirmed monkeypox virus infections. RESULTS: We report 528 infections diagnosed between April 27 and June 24, 2022, at 43 sites in 16 countries. Overall, 98% of the persons with infection were gay or bisexual men, 75% were White, and 41% had human immunodeficiency virus infection; the median age was 38 years. Transmission was suspected to have occurred through sexual activity in 95% of the persons with infection. In this case series, 95% of the persons presented with a rash (with 64% having ≤10 lesions), 73% had anogenital lesions, and 41% had mucosal lesions (with 54 having a single genital lesion). Common systemic features preceding the rash included fever (62%), lethargy (41%), myalgia (31%), and headache (27%); lymphadenopathy was also common (reported in 56%). Concomitant sexually transmitted infections were reported in 109 of 377 persons (29%) who were tested. Among the 23 persons with a clear exposure history, the median incubation period was 7 days (range, 3 to 20). Monkeypox virus DNA was detected in 29 of the 32 persons in whom seminal fluid was analyzed. Antiviral treatment was given to 5% of the persons overall, and 70 (13%) were hospitalized; the reasons for hospitalization were pain management, mostly for severe anorectal pain (21 persons); soft-tissue superinfection (18); pharyngitis limiting oral intake (5); eye lesions (2); acute kidney injury (2); myocarditis (2); and infection-control purposes (13). No deaths were reported. CONCLUSIONS: In this case series, monkeypox manifested with a variety of dermatologic and systemic clinical findings. The simultaneous identification of cases outside areas where monkeypox has traditionally been endemic highlights the need for rapid identification and diagnosis of cases to contain further community spread.","[MeSH] Adult; [MeSH] Exanthema; [MeSH] Female; [MeSH] Fever; [MeSH] Global Health; [MeSH] Humans; [MeSH] Male; [MeSH] Mpox, Monkeypox; [MeSH] Monkeypox virus",Journal Article,"[MeSH] Adult; [MeSH] Exanthema; [MeSH] Female; [MeSH] Fever; [MeSH] Global Health; [MeSH] Humans; [MeSH] Male; [MeSH] Mpox, Monkeypox; [MeSH] Monkeypox virus",unlikely_candidate,0,"The paper does not provide information on serial intervals, generation time, or R0/Rt of mpox.",false,0.5,title_abstract,simple_prompt,leads_mistral_simple,MP10,serial_interval,mpox,zifeng-ai/leads-mistral-7b-v1,756,34,790,513.8,,,,,,,,,,,,
38780294,Applying lessons of COVID-19 and other emerging infectious diseases to future outbreaks.,"Evan M Bloch, David J Sullivan, Arturo Casadevall, Shmuel Shoham, Aaron A R Tobian, Kelly Gebo",mBio. 2024. doi: 10.1128/mbio.01109-24..,Bloch,mBio,2024,2024/05/23,,,10.1128/mbio.01109-24,"Infectious diseases are emerging and re-emerging far more frequently than many appreciate. In the past two decades alone, there have been numerous outbreaks (e.g., Ebola, chikungunya, Zika, and Mpox) and pandemics (i.e., swine flu and coronavirus disease 2019) with profound effects to public health, the economy, and society at large. Rather than view these in isolation, there are important lessons pertaining to how best to contend with future outbreaks of emerging infectious diseases. Those lessons span definition (i.e., what constitutes a pandemic), through deficiencies in surveillance, data collection and reporting, the execution of research in a rapidly changing environment, the nuances of study design and hierarchy of clinical evidence, triage according to clinical need as supply chains become overwhelmed, and the challenges surrounding forecasting of outbreaks. Understanding those lessons and drawing on both the successes and failures of the past are imperative if we are to overcome the challenges of outbreak/pandemic responsiveness.","COVID-19; Mpox (monkeypox); communicable diseases, emerging; policy; public health",Journal Article,"[MeSH] Humans; [MeSH] COVID-19; [MeSH] Communicable Diseases, Emerging; [MeSH] Disease Outbreaks; [MeSH] SARS-CoV-2; [MeSH] Pandemics; [MeSH] Public Health; [MeSH] Forecasting; [MeSH] Mpox, Monkeypox",unlikely_candidate,0,"The paper discusses lessons from COVID-19 and other emerging infectious diseases, not specific data on mpox.",false,0.5,title_abstract,simple_prompt,leads_mistral_simple,MP10,serial_interval,mpox,zifeng-ai/leads-mistral-7b-v1,364,35,399,525.9,,,,,,,,,,,,
36746846,Molecular detection of monkeypox and related viruses: challenges and opportunities.,"Sudeep D Ghate, Prashanth Suravajhala, Prakash Patil, Rajani Kanth Vangala, Praveenkumar Shetty, R Shyama Prasad Rao",Virus genes. 2023. doi: 10.1007/s11262-023-01975-3..,Ghate,Virus genes,2023,2023/02/06,,,10.1007/s11262-023-01975-3,"The recent widespread emergence of monkeypox (mpox), a rare and endemic zoonotic disease by monkeypox virus (MPXV), has made global headlines. While transmissibility (R0 ≈ 0.58) and fatality rate (0-3%) are low, as it causes prolonged morbidity, the World Health Organization has declared monkeypox as a public health emergency of international concern. Thus, effective containment and disease management require quick and efficient detection of MPXV. In this bioinformatic overview, we summarize the numerous molecular tests available for MPXV, and discuss the diversity of genes and primers used in the polymerase chain reaction-based detection. Over 90 primer/probe sets are used for the detection of poxviruses. While hemagglutinin and A-type inclusion protein are the most common target genes, tumor necrosis factor receptor and complement binding protein genes are frequently used for distinguishing Clade I and Clade II of MPXV. Problems and possibilities in the detection of MPXV have been discussed.",Diagnostics; Emerging infectious diseases; Epidemiology and public health; Molecular evolution; Orthopoxvirus; Viral genome surveillance,Journal Article; Review,"[MeSH] Humans; [MeSH] Mpox, Monkeypox; [MeSH] Monkeypox virus; [MeSH] Polymerase Chain Reaction; [MeSH] DNA, Viral; [MeSH] Public Health",possible_candidate,2,"The paper discusses molecular detection of mpox, which is relevant to the question.",true,0.5,title_abstract,simple_prompt,leads_mistral_simple,MP10,serial_interval,mpox,zifeng-ai/leads-mistral-7b-v1,378,28,406,421.1,,,,,,,,,,,,
38994460,Monkeypox infection and pregnancy in lower and middle-income countries: Precautions & recommendations.,"Omar Abu-Azzam, Mohammad Abu-Jeyyab, Mohammad Daradkeh, Sadeen Zein Eldeen, Saja Zuaiter, Mohammad Al-Mseadeen, Amer Sindiani, Eman Alshdaifat",Revista brasileira de ginecologia e obstetricia : revista da Federacao Brasileira das Sociedades de Ginecologia e Obstetricia. 2024. doi: 10.61622/rbgo/2024rbgo54..,Abu-Azzam,Revista brasileira de ginecologia e obstetricia : revista da Federacao Brasileira das Sociedades de Ginecologia e Obstetricia,2024,2024/06/27,,,10.61622/rbgo/2024rbgo54,"Monkeypox (MPX), an orthopoxviral disease endemic in Africa, is now a public health emergency of international concern (PHEIC) as declared by the World Health Organization in July 2023. Although it is generally mild, the overall case fatality rate was reported to be 3%, and the basic reproduction number (R0) is > 1 in men who have sex with men (MSM, i.e., Portugal (1.4), the United Kingdom (1.6), and Spain (1.8)). However, R0 is < 1 in other settings. In concordance with the smallpox virus, it is also expected to increase the risk of adverse outcomes for both the mother and the fetus. The outcomes of the disease in an immunocompromised state of pregnancy are scary, showing high mortality and morbidity of both mother and fetus, with up to a 75% risk of fetal side effects and a 25% risk of severe maternal diseases. Therefore, it warrants timely diagnosis and intervention. The reverse transcription polymerase chain reaction (RT PCR) test is the standard approach to diagnosis. We summarized the recent findings of MPX on pregnancy, and the associated risk factors. We also give recommendations for active fetal surveillance, perinatal care, and good reporting to improve outcomes. The available vaccines have shown promise for primary disease prevention.","Epidemiology; Monkeypox; Orthopoxvirus; Perinatal care; Pregnancy complications, infectious",Journal Article; Review,"[MeSH] Humans; [MeSH] Pregnancy; [MeSH] Female; [MeSH] Pregnancy Complications, Infectious; [MeSH] Mpox, Monkeypox; [MeSH] Developing Countries",unlikely_candidate,0,"The paper focuses on monkeypox and pregnancy, not on serial intervals, generation time, or R0/Rt.",false,0.5,title_abstract,simple_prompt,leads_mistral_simple,MP10,serial_interval,mpox,zifeng-ai/leads-mistral-7b-v1,447,37,484,605.0,,,,,,,,,,,,
36109000,Diagnosis of monkeypox virus - An overview.,"Mustafa Altindis, Edmond Puca, Laidon Shapo",Travel medicine and infectious disease. 2022. doi: 10.1016/j.tmaid.2022.102459..,Altindis,Travel medicine and infectious disease,2022,2022/09/13,,,10.1016/j.tmaid.2022.102459,"Monkeypox is an emerging zoonotic disease caused by monkeypox virus which is a DNA virus. The virus is transmitted to humans as a result of close contact with infected animals, infected humans or contaminated inanimate objects. The disease has a incubation period usually 7-14 days and it causes fever, headache, fatigue, myalgia, widespread body aches, swelling in lymph nodes and skin lesions. It may be difficult to distinguish monkeypox on the basis of clinical presentation alone, especially for cases with an atypical appearance, because of the various conditions that cause skin rashes. Testing should be offered to anyone who falls under the suspected case definition for monkeypox infection. Suitable samples are surface lesion and/or skin materials such as exudates swabs and crusts. Laboratory confirmation of specimens from suspected case is done using nucleic acid amplification testing, such as real-time or conventional polymerase chain reaction. Confirmation of MPXV infection should consider clinical and epidemiological information. Positive detection using an OPXV PCR assay followed by confirmation of MPXV via PCR and/or sequencing, or positive detection using MPXV PCR assay in suspected cases indicates confirmation of MPXV infection. Genetic sequence data (GSD) provide information on the origin and epidemic and characteristics of cases. There is a need to develop a more global and effective laboratory network for this emerging zoonosis, as well as to strengthen laboratory capacity, and international specimens referral capacities.",DNA; Diagnosis; Laboratory; Monkeypox; Polymerase chain reaction; Virus,Journal Article; Review,"[MeSH] Animals; [MeSH] Humans; [MeSH] Monkeypox virus; [MeSH] Mpox, Monkeypox; [MeSH] Polymerase Chain Reaction; [MeSH] Nucleic Acid Amplification Techniques",unlikely_candidate,0,"The paper does not provide specific data on serial intervals, generation time, or R0/Rt of mpox.",false,0.5,title_abstract,simple_prompt,leads_mistral_simple,MP10,serial_interval,mpox,zifeng-ai/leads-mistral-7b-v1,473,35,508,525.0,,,,,,,,,,,,
39927376,Navigating monkeypox: identifying risks and implementing solutions.,"Suhita Aryaloka, Aswin Rafif Khairullah, Muhammad Khaliim Jati Kusala, Ima Fauziah, Nanik Hidayatik, Muhammad Agil, M Gandul Atik Yuliani, Arindita Niatazya Novianti, Ikechukwu Benjamin Moses, Muhammad Thohawi Elziyad Purnama, Syahputra Wibowo, Kartika Afrida Fauzia, Ricadonna Raissa, Abdul Hadi Furqoni, Mo Awwanah, Katty Hendriana Priscilia Riwu",Open veterinary journal. 2024. doi: 10.5455/OVJ.2024.v14.i12.1..,Aryaloka,Open veterinary journal,2024,2024/12/31,,,10.5455/OVJ.2024.v14.i12.1,"Monkeypox is a zoonotic disease caused by the orthopox virus, a double-stranded DNA virus that belongs the Poxviridae virus family. It is known to infect both animals (especially monkeys and rodents) and humans and causes a rash similar to smallpox. Humans can become infected with monkeypox virus (MPXV) when they get in close contact with infected animals (zoonotic transmission) or other infected people (human-human transmission) through their body fluids such as mucus, saliva, or even skin sores. Frequently observed symptoms of this disease include fever, headaches, muscle aches, and a rash that initially looks like a tiny bump before becoming a lump that is filled with fluid. Monkeypox symptoms also include an incubation period of 5-21 days, divided into prodromal and eruption phases. Several contributing factors, such as smallpox vaccine discontinuation, widespread intake of infected animal products as a source of protein, and high population density, amongst others, have been linked to an increase in the frequency of monkeypox outbreaks. The best course of action for diagnosing individuals who may be suffering from active monkeypox is to collect a sample of skin from the lesion and perform PCR molecular testing. Monkeypox does not presently have a specific therapy; however, supportive care can assist in managing symptoms, such as medication to lower body temperature and pain. Three major orthopoxvirus vaccines have been approved to serve as a preventive measure against monkeypox: LC16, JYNNEOS, and ACAM2000. The discovery that the monkeypox outbreak is communicable both among humans and within a population has sparked new public health worries on the possibility of the outbreak of another viral pandemic. Research and studies are still being conducted to gain a deeper understanding of this zoonotic viral disease. This review is therefore focused on deciphering monkeypox, its etiology, pathogenesis, transmission, risk factors, and control.",Monkeypox; Public health; Viral disease; Virus; Zoonosis,Journal Article; Review,"[MeSH] Mpox, Monkeypox; [MeSH] Animals; [MeSH] Humans; [MeSH] Monkeypox virus; [MeSH] Zoonoses; [MeSH] Risk Factors",unlikely_candidate,0,"The paper focuses on monkeypox and does not provide specific data on serial intervals, generation time, and R0/Rt.",false,0.5,title_abstract,simple_prompt,leads_mistral_simple,MP10,serial_interval,mpox,zifeng-ai/leads-mistral-7b-v1,583,39,622,626.5,,,,,,,,,,,,
