sr_id,sr_name,sr_pmid,gt_title,gt_pmid,gt_doi,gt_year,gt_authors,gt_journal,gt_country_region,review_status,note,raw_reference,created_at,exclude_flag
15,pone.0242128,33175914,Preliminary prediction of the basic reproduction number of the Wuhan novel coronavirus 2019-nCoV.,32048815,10.1111/jebm.12376,2020,"Zhou T, Liu Q, Yang Z, Liao J, Yang K, Bai W, Lu X, Zhang W",Journal of evidence-based medicine,,verified,,,2026-01-28T02:54:00.048623,
15,pone.0242128,33175914,High Contagiousness and Rapid Spread of Severe Acute Respiratory Syndrome Coronavirus 2.,32255761,10.3201/eid2607.200282,2020,"Sanche S, Lin YT, Xu C, Romero-Severson E, Hengartner N, Ke R",Emerging infectious diseases,,verified,,,2026-01-28T03:16:27.132692,
15,pone.0242128,33175914,[Study on assessing early epidemiological parameters of COVID-19 epidemic in China].,32113196,10.3760/cma.j.cn112338-20200205-00069,2020,"Song QQ, Zhao H, Fang LQ, Liu W, Zheng C, Zhang Y",Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,,verified,,,2026-01-28T03:17:03.636324,
15,pone.0242128,33175914,Estimation of the Transmission Risk of the 2019-nCoV and Its Implication for Public Health Interventions.,32046137,10.3390/jcm9020462,2020,"Tang B, Wang X, Li Q, Bragazzi NL, Tang S, Xiao Y, Wu J",Journal of clinical medicine,,verified,,,2026-01-28T03:17:36.723004,
15,pone.0242128,33175914,"Preliminary estimation of the basic reproduction number of novel coronavirus (2019-nCoV) in China, from 2019 to 2020: A data-driven analysis in the early phase of the outbreak.",32007643,10.1016/j.ijid.2020.01.050,2020,"Zhao S, Lin Q, Ran J, Musa SS, Yang G, Wang W, Lou Y, Gao D, Yang L, He D, Wang MH",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,verified,,,2026-01-28T03:18:19.232405,
15,pone.0242128,33175914,Estimating the Unreported Number of Novel Coronavirus (2019-nCoV) Cases in China in the First Half of January 2020: A Data-Driven Modelling Analysis of the Early Outbreak.,32024089,10.3390/jcm9020388,2020,"Zhao S, Musa SS, Lin Q, Ran J, Yang G, Wang W, Lou Y, Yang L, Gao D, He D, Wang MH",Journal of clinical medicine,,verified,,,2026-01-28T03:18:47.908500,
15,pone.0242128,33175914,Effects of media reporting on mitigating spread of COVID-19 in the early phase of the outbreak.,32233561,10.3934/mbe.2020147,2020,"Zhou WK, Wang AL, Xia F, Xiao YN, Tang SY",Mathematical biosciences and engineering : MBE,,verified,,,2026-01-28T03:19:30.044869,
15,pone.0242128,33175914,A mathematical model for simulating the phase-based transmissibility of a novel coronavirus.,32111262,10.1186/s40249-020-00640-3,2020,"Chen TM, Rui J, Wang QP, Zhao ZY, Cui JA, Yin L",Infectious diseases of poverty,,verified,,,2026-01-28T03:19:53.377421,
15,pone.0242128,33175914,"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus-Infected Pneumonia.",31995857,10.1056/NEJMoa2001316,2020,"Li Q, Guan X, Wu P, Wang X, Zhou L, Tong Y, Ren R, Leung KSM, Lau EHY, Wong JY, Xing X, Xiang N, Wu Y, Li C, Chen Q, Li D, Liu T, Zhao J, Liu M, Tu W, Chen C, Jin L, Yang R, Wang Q, Zhou S, Wang R, Liu H, Luo Y, Liu Y, Shao G, Li H, Tao Z, Yang Y, Deng Z, Liu B, Ma Z, Zhang Y, Shi G, Lam TTY, Wu JT, Gao GF, Cowling BJ, Yang B, Leung GM, Feng Z",The New England journal of medicine,,verified,,,2026-01-28T03:20:29.587703,
15,pone.0242128,33175914,"Early transmissibility assessment of a novel coronavirus in Wuhan, China.",32714102,10.2139/ssrn.3524675,2020,"Majumder MS, Mandl KD",SSRN,,verified,,,2026-01-28T03:20:56.878908,
15,pone.0242128,33175914,When will the battle against novel coronavirus end in Wuhan: A SEIR modeling analysis.,32257174,10.7189/jogh.10.011002,2020,"Wan K, Chen J, Lu C, Dong L, Wu Z, Zhang L",Journal of global health,,verified,,,2026-01-28T03:22:39.555596,
15,pone.0242128,33175914,"Nowcasting and forecasting the potential domestic and international spread of the 2019-nCoV outbreak originating in Wuhan, China: a modelling study.",32014114,10.1016/S0140-6736(20)30260-9,2020,"Wu JT, Leung K, Leung GM","Lancet (London, England)",,verified,,,2026-01-28T03:23:12.404498,
15,pone.0242128,33175914,"Prediction of the Epidemic Peak of Coronavirus Disease in Japan, 2020.",32183172,10.3390/jcm9030789,2020,Kuniya T,Journal of clinical medicine,,verified,,,2026-01-28T03:23:34.881296,
15,pone.0242128,33175914,"Transmission potential of the novel coronavirus (COVID-19) onboard the diamond Princess Cruises Ship, 2020.",32190785,10.1016/j.idm.2020.02.003,2020,"Mizumoto K, Chowell G",Infectious Disease Modelling,,verified,,,2026-01-28T03:24:11.953392,
15,pone.0242128,33175914,COVID-19 outbreak on the Diamond Princess cruise ship: estimating the epidemic potential and effectiveness of public health countermeasures.,32109273,10.1093/jtm/taaa030,2020,"Rocklöv J, Sjödin H, Wilder-Smith A",Journal of travel medicine,,verified,,,2026-01-28T03:24:37.548669,
15,pone.0242128,33175914,Estimation of the reproductive number of novel coronavirus (COVID-19) and the probable outbreak size on the Diamond Princess cruise ship: A data-driven analysis.,32097725,10.1016/j.ijid.2020.02.033,2020,"Zhang S, Diao M, Yu W, Pei L, Lin Z, Chen D",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,verified,,,2026-01-28T03:25:07.081107,
15,pone.0242128,33175914,Estimating the reproductive number and the outbreak size of COVID-19 in Korea.,32164053,10.4178/epih.e2020011,2020,"Choi S, Ki M",Epidemiology and health,,verified,,,2026-01-28T03:25:34.718556,
15,pone.0242128,33175914,Epidemiologic characteristics of early cases with 2019 novel coronavirus (2019-nCoV) disease in Korea.,32035431,10.4178/epih.e2020007,2020,"Ki M, Task Force for 2019-nCoV",Epidemiology and health,,verified,,,2026-01-28T03:25:59.310521,
15,pone.0242128,33175914,Transmission potential and severity of COVID-19 in South Korea.,32198088,10.1016/j.ijid.2020.03.031,2020,"Shim E, Tariq A, Choi W, Lee Y, Chowell G",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,verified,,,2026-01-28T03:26:28.839822,
15,pone.0242128,33175914,"Assessment of the SARS-CoV-2 basic reproduction number, R (0), based on the early phase of COVID-19 outbreak in Italy.",32835209,10.1016/j.bsheal.2020.03.004,2020,"D'Arienzo M, Coniglio A",Biosafety and health,,verified,,,2026-01-28T03:27:06.759952,
15,pone.0242128,33175914,Monitoring transmissibility and mortality of COVID-19 in Europe.,32234343,10.1016/j.ijid.2020.03.050,2020,"Yuan J, Li M, Lv G, Lu ZK",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,verified,,,2026-01-28T03:27:31.119188,
15,pone.0242128,33175914,Analysis of the impact of lockdown on the reproduction number of the SARS-Cov-2 in Spain.,32571528,10.1016/j.gaceta.2020.05.003,2021,"Hyafil A, Moriña D",Gaceta sanitaria,,verified,,,2026-01-28T03:27:52.997635,
15,pone.0242128,33175914,Early dynamics of transmission and control of COVID-19: a mathematical modelling study.,32171059,10.1016/S1473-3099(20)30144-4,2020,"Kucharski AJ, Russell TW, Diamond C, Liu Y, Edmunds J, Funk S, Eggo RM, Centre for Mathematical Modelling of Infectious Diseases COVID-19 working group",The Lancet. Infectious diseases,,verified,,,2026-01-28T03:28:22.443924,
15,pone.0242128,33175914,Novel coronavirus 2019-nCoV (COVID-19): early estimation of epidemiological parameters and epidemic size estimates.,34053269,10.1098/rstb.2020.0265,2021,"Read JM, Bridgen JRE, Cummings DAT, Ho A, Jewell CP","Philosophical transactions of the Royal Society of London. Series B, Biological sciences",,verified,,,2026-01-28T03:31:30.798751,
15,pone.0242128,33175914,"Pattern of early human-to-human transmission of Wuhan 2019 novel coronavirus (2019-nCoV), December 2019 to January 2020.",32019669,10.2807/1560-7917.ES.2020.25.4.2000058,2020,"Riou J, Althaus CL",Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,,verified,,,2026-01-28T03:32:36.131996,
