PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords
36214966,Monkeypox virus: past and present.,"Ya-Mei Dou, Hang Yuan, Hou-Wen Tian",World journal of pediatrics : WJP. 2022. doi: 10.1007/s12519-022-00618-1..,Dou,World journal of pediatrics : WJP,2023,2022/10/10,,,10.1007/s12519-022-00618-1,"BACKGROUND: The objective of this paper is to analyze the current status of monkeypox worldwide. In the face of this public health threat, our purpose is to elucidate the clinical characteristics and epidemiology of monkeypox, the developmental progress of monkeypox-related drugs and the vaccines available. DATA SOURCES: The literature review was performed in databases including PubMed, Science Direct and Google Scholar up to July 2022. RESULTS: Since May 2022, the World Health Organization has reported more than 45,000 confirmed cases from 92 nonendemic countries, including nine deaths. Although some women and children have been infected so far, most cases have occurred among men who have sex with other men, especially those with multiple sexual partners or anonymous sex. CONCLUSIONS: Pediatric monkeypox infection has been associated with a higher likelihood of severe illness and mortality than in adults. Severe monkeypox illness in pediatrics often requires adjunctive antiviral therapy. It is crucial for all countries to establish sound monitoring and testing systems and be prepared with emergency preparedness.",Monkeypox; Orthopoxvirus; Smallpox; Zoonotic
36331049,Monkeypox virus diagnosis and laboratory testing.,"Mohsen Nakhaie, Nasir Arefinia, Javad Charostad, Davood Bashash, Mohadeseh Haji Abdolvahab, Mohammad Zarei",Reviews in medical virology. 2022. doi: 10.1002/rmv.2404..,Nakhaie,Reviews in medical virology,2023,2022/11/04,,,10.1002/rmv.2404,"The multi-country outbreak of monkeypox virus (MPXV) infection, while the coronavirus disease 2019 pandemic is still an ongoing issue, has caused a new challenge. The re-emergence of MPXV and the rising incidence in non-endemic countries is turning into an upcoming threat to global health. Hence, rapid identification of the virus with appropriate methodology with the lowest false results plays a critical role in estimating the global extent of the crisis and providing preventive measures. This review summarised the main applicable strategies for primary detection and confirmation of MPXV and highlighted available data in biosafety, requirements, standard operating procedures, specimen collection, transportation and storage of clinical samples, and waste disposal of the viral agent. Also, various assays including molecular techniques, immunoassays, histopathological methods, electron microscopy, genomic sequencing, and cell culture have been illustrated. Moreover, we reflected on current knowledge of the advantages and disadvantages of each approach.",diagnosis; laboratory testing; monkeypox virus
38801568,"Monkeypox: Past, Present, and Future.","Gulfaraz Khan, Nighat Perveen",Advances in experimental medicine and biology. 2024. doi: 10.1007/978-3-031-57165-7_1..,Khan,Advances in experimental medicine and biology,2024,2024/01/01,,,10.1007/978-3-031-57165-7_1,"Monkeypox (Mpox) is a zoonotic disease caused by a virus (monkeypox virus-MPV) belonging to the Poxviridae family. In humans, the disease has an incubation period of 5-21 days and then progresses in two phases, the prodromal phase and the rash phase. The prodromal phase is characterized by non-specific symptoms such as fever, muscle pain, malaise, lymphadenopathy, headache, and chills. Skin lesions appear in the rash phase of the disease. These lesions progress through different stages (macules, papules, vesicles, and pustules). In May 2022, WHO reported an outbreak of human Mpox in several countries which were previously Mpox-free. As per the CDC report of March 01, 2023, a total of 86,231 confirmed cases of Mpox and 105 deaths have been reported from 110 countries and territories across the globe. Notably, more than 90% of these countries were reporting Mpox for the first time. The phylogenetic analysis revealed that this outbreak was associated with the virus from the West African clade. However, most of the cases in this outbreak had no evidence of travel histories to MPV-endemic countries in Central or West Africa. This outbreak was primarily driven by the transmission of the virus via intimate contact in men who have sex with men (MSM). The changing epidemiology of Mpox raised concerns about the increasing spread of the disease in non-endemic countries and the urgent need to control and prevent it. In this chapter, we present all the documented cases of Mpox from 1970 to 2023 and discuss the past, present, and future of MPV.",Distribution; Epidemiology; MPV strains; Monkeypox; Monkeypox virus; Prevalence; Transmission
37203020,Ophthalmic manifestations of monkeypox infection.,"Bharat Gurnani, Kirandeep Kaur, Sameer Chaudhary, Harinikrishna Balakrishnan",Indian journal of ophthalmology. 2023. doi: 10.4103/ijo.IJO_2032_22..,Gurnani,Indian journal of ophthalmology,2023,2023/05/01,,,10.4103/ijo.IJO_2032_22,"After the global COVID-19 pandemic, there has been an alarming concern with the monkeypox (mpox) outbreak, which has affected more than 110 countries worldwide. Monkeypox virus is a doublestranded DNA virus of the genus Orthopox of the Poxviridae family, which causes this zoonotic disease. Recently, the mpox outbreak was declared by the World Health Organization (WHO) as a public health emergency of international concern (PHEIC). Monkeypox patients can present with ophthalmic manifestation and ophthalmologists have a role to play in managing this rare entity. Apart from causing systemic involvement such as skin lesions, respiratory infection and involvement of body fluids, Monkeypox related ophthalmic disease (MPXROD) causes varied ocular manifestations such as lid and adnexal involvement, periorbital and lid lesion, periorbital rash, conjunctivitis, blepharocounctivitis and keratitis. A detailed literature review shows few reports on MPXROD infections with limited overview on management strategies. The current review article is aimed to provide the ophthalmologist with an overview of the disease with a spotlight on ophthalmic features. We briefly discuss the morphology of the MPX, various modes of transmission, an infectious pathway of the virus, and the host immune response. A brief overview of the systemic manifestations and complications has also been elucidated. We especially highlight the detailed ophthalmic manifestations of mpox, their management, and prevention of vision threatening sequelae.",Conjunctivitis; keratitis; monkeypox; public health emergency; zoonosis
40178288,Bispecific antibodies targeting MPXV A29 and B6 demonstrate efficacy against MPXV infection.,"Mengjun Li, Jiayin Chen, Fungxiang Wang, Jiahua Kuang, Yun Peng, Sadia Asghar, Wei Zhao, Yang Yang, Chenguang Shen",Journal of virology. 2025. doi: 10.1128/jvi.02320-24..,Li,Journal of virology,2025,2025/04/03,,,10.1128/jvi.02320-24,"Recently, the monkeypox virus (MPXV) outbreak was once again declared by the World Health Organization as a global health emergency, and currently, there is no specific drug against MPXV. During the replication cycle, MPXV produces two distinct forms of viral particles: extracellular enveloped virus (EEV), released via exocytosis, and intracellular mature virus (IMV), expelled through host cell lysis. A29 and B6 proteins are membrane proteins found on the IMV and EEV viral particles, respectively. This study designed two different bispecific antibodies (bsAbs) targeting specific antigens of the MPXV: the developed bsAb 9F8-3A1 targets two non-competitive binding epitopes on the MPXV protein A29, while bsAb 9F8-7C9 targets different antigen-binding epitopes on both A29 and B6. The in vitro and in vivo characterization assays demonstrated that the bsAbs provided complete protection against three poxvirus strains: vaccinia virus (VACV) Tiantan, VACV Western Reserve (VACV WR), and MPXV, surpassing the efficacy of all the parental monoclonal antibodies. Notably, the bsAb 9F8-7C9 exhibited the most effective antiviral activity. In vivo pharmacokinetic experiments showed that these two bsAbs have long half-lives in rhesus macaques. In conclusion, this study successfully developed two bispecific antibodies that target different epitopes, providing crucial insights for the development of decent antiviral drugs against MPXV and other orthopoxviruses.IMPORTANCEMpox is a viral zoonotic disease caused by MPXV infection. Since 2022, cases of mpox have been reported in non-endemic countries. The number of infections and deaths continues to rise, posing a serious threat to global health and safety. Currently, there are no specific treatments for mpox, making the development of effective therapeutic options urgent. In recent years, antibody-based drugs have been extensively studied for the treatment of various significant human viruses. However, there is a lack of research on therapeutic monoclonal antibodies for mpox, particularly in the development and application of bsAbs. In this context, we have designed effective bsAbs that demonstrate high antiviral activity both in vitro and in vivo. This research provides a theoretical foundation for the development of specific therapeutic agents for mpox and offers new approaches for clinical treatment, which is crucial for controlling the current outbreak.",MPXV; antiviral activity; bispecific antibody; non-competitive epitopes
40536397,Monkeypox virus induces ferroptosis to facilitate viral replication and promotes inflammatory responses.,"Xia Chuai, Yuping Wang, Chen Wang, Tianxi Ye, Xiaofan Shen, Jinge Zhou, Kaiyue Zhang, Baoxin Zhao, Yan Wu, Wujian Li, Zhigang Cai, Sandra Chiu",Emerging microbes & infections. 2025. doi: 10.1080/22221751.2025.2522877..,Chuai,Emerging microbes & infections,2025,2025/07/07,,,10.1080/22221751.2025.2522877,"Ferroptosis is an iron-dependent form of programmed cell death, which is characterized by iron overload and accumulation of lipid peroxidation. As a newly identified type of cell death, its involvement in poxvirus infection and pathogenesis remains unclear. Since MPXV shares biological and pathogenic similarities with other poxviruses, such as vaccinia virus (VACV), we used VACV-infected cell and mouse models to demonstrate that VACV infection induces ferroptosis both in vitro and in vivo. Inhibition of ferroptosis significantly reduce virus replication and alleviates the inflammatory response. Additionally, we observed that VACV infection upregulates prostaglandin-endoperoxide synthase 2 (PTGS2), which contributes to virus-triggered ferroptosis and inflammation. This study identifies a novel form of cell death triggered by poxvirus infection, shedding light on host-pathogen interactions and offering a potential therapeutic target for MPXV and other Orthopoxviruses.",MPXV; PTGS2; ferroptosis; inflammatory responses; virus replication
37792954,An mpox virus mRNA-lipid nanoparticle vaccine confers protection against lethal orthopoxviral challenge.,"Alec W Freyn, Caroline Atyeo, Patricia L Earl, Jeffrey L Americo, Gwo-Yu Chuang, Harini Natarajan, Tiffany R Frey, Jason G Gall, Juan I Moliva, Ruth Hunegnaw, Guha Asthagiri Arunkumar, Clinton O Ogega, Arshan Nasir, Genesis Santos, Rafael H Levin, Anusha Meni, Patricia A Jorquera, Hamilton Bennett, Joshua A Johnson, Michael A Durney, Guillaume Stewart-Jones, Jay W Hooper, Tonya M Colpitts, Galit Alter, Nancy J Sullivan, Andrea Carfi, Bernard Moss",Science translational medicine. 2023. doi: 10.1126/scitranslmed.adg3540..,Freyn,Science translational medicine,2023,2023/10/04,,,10.1126/scitranslmed.adg3540,"Mpox virus (MPXV) caused a global outbreak in 2022. Although smallpox vaccines were rapidly deployed to curb spread and disease among those at highest risk, breakthrough disease was noted after complete immunization. Given the threat of additional zoonotic events and the virus's evolving ability to drive human-to-human transmission, there is an urgent need for an MPXV-specific vaccine that confers protection against evolving MPXV strains and related orthopoxviruses. Here, we demonstrate that an mRNA-lipid nanoparticle vaccine encoding a set of four highly conserved MPXV surface proteins involved in virus attachment, entry, and transmission can induce MPXV-specific immunity and heterologous protection against a lethal vaccinia virus (VACV) challenge. Compared with modified vaccinia virus Ankara (MVA), which forms the basis for the current MPXV vaccine, immunization with an mRNA-based MPXV vaccine generated superior neutralizing activity against MPXV and VACV and more efficiently inhibited spread between cells. We also observed greater Fc effector TH1-biased humoral immunity to the four MPXV antigens encoded by the vaccine, as well as to the four VACV homologs. Single MPXV antigen-encoding mRNA vaccines provided partial protection against VACV challenge, whereas multivalent vaccines combining mRNAs encoding two, three, or four MPXV antigens protected against disease-related weight loss and death equal or superior to MVA vaccination. These data demonstrate that an mRNA-based MPXV vaccine confers robust protection against VACV.","[MeSH] Humans; [MeSH] Monkeypox virus; [MeSH] Vaccinia virus; [MeSH] Smallpox Vaccine; [MeSH] Viral Vaccines; [MeSH] Antigens, Viral; [MeSH] RNA, Messenger; [MeSH] Mpox, Monkeypox; [MeSH] Liposomes; [MeSH] Nanoparticles"
36161803,Reemergence of monkeypox: prevention and management.,"Sahaya Nadar, Tabassum Khan, Abdelwahab Omri",Expert review of anti-infective therapy. 2022. doi: 10.1080/14787210.2022.2128763..,Nadar,Expert review of anti-infective therapy,2022,2022/09/30,,,10.1080/14787210.2022.2128763,"INTRODUCTION: The reemergence of monkeypox virus in the twenty-first century, calls for an urgency in its control and preventive measures. There is a long-standing concern that the reemergence of monkeypox across countries could lead to another epidemic like the COVID-19 pandemic. Understanding the disease ecology, preventing its transmission could help curbing its spread. The established treatment protocols along with development of new antiviral agents and vaccines could play a pivotal role in controlling its transmission. AREAS COVERED: In this review, we summarize the different modes of transmission of this disease, the associated symptoms, the standard protocol of treatment, the available vaccines and use of alternative treatments. We have collated recent research on novel entities that could potentially treat monkeypox infection. EXPERT OPINION: The One Health approach fostered by the World Health Organization (WHO) for emergent and reemerging zoonotic diseases has to be implemented with a view to curb their transmission. The growing global population and increased inter-country travel has led to rapid spread of transmissible pathogens. Stigmatization, associated with lack of knowledge can be prevented by enhancing awareness campaigns. Vaccines need to be administered to high-risk individuals, and drug discovery efforts need to be intensified to combat such diseases.",Monkeypox; antibodies; antiviral agents; herbs; therapeutics; vaccines
35953443,Therapeutic strategies to address monkeypox.,Matthew W McCarthy,Expert review of anti-infective therapy. 2022. doi: 10.1080/14787210.2022.2113058..,McCarthy,Expert review of anti-infective therapy,2022,2022/08/17,,,10.1080/14787210.2022.2113058,"INTRODUCTION: Monkeypox is a viral zoonosis, with symptoms similar to those seen in smallpox patients, although the clinical presentation may be less severe. Until recently, human monkeypox infection was rare, and primarily occurred in Central and West Africa. AREAS COVERED: An international outbreak began in May 2022, and monkeypox has now been detected on every continent except Antarctica. The first recognized case from the current outbreak was confirmed in the United Kingdom on 6 May 2022, in an adult with travel links to Nigeria, but it has been suggested that cases had been spreading in Europe for months. On 23 July 2022 the Director-General of the World Health Organization declared the monkeypox outbreak a public health emergency of international concern. EXPERT OPINION: There are no treatments specifically for monkeypox virus infections. However, monkeypox and smallpox viruses are genetically similar, and therapeutics developed to combat smallpox may be used to treat monkeypox. This manuscripts reviews what is known about these potential treatments, including tecovirimat and brincidofovir, based on a literature search of PubMed through 9 August 2022, and explores how these therapeutics may be used in the future to address the expanding monkeypox pandemic.",Monkeypox; brincidofovir; sars-cov-2; smallpox; tecovirimat
39361760,Africa aims to avert an mpox pandemic.,"Nicaise Ndembi, Salim S Abdool Karim","Science (New York, N.Y.). 2024. doi: 10.1126/science.adt4793..",Ndembi,"Science (New York, N.Y.)",2024,2024/10/03,,,10.1126/science.adt4793,"Last month, when the world's most populus country, India, reported its first case of the new, highly transmissible clade Ib mpox variant, the challenge of containing the virus was once again evident. Only a few weeks before that in August, the World Health Organization (WHO) and the Africa Centres for Disease Control and Prevention (Africa CDC) declared mpox a public health emergency in response to its spread in Africa. Since then, cases of clade Ib mpox have been reported in Sweden, Thailand, and Pakistan. Although mpox is not yet a global pandemic, the new variant may tip the scales in that direction if the world does not act quickly to mitigate its spread in Africa.","[MeSH] Humans; [MeSH] Africa; [MeSH] Mpox, Monkeypox; [MeSH] Pandemics; [MeSH] Thailand; [MeSH] Smallpox Vaccine"
