PMID,sr_id,sr_name,sr_pmid,gt_title,gt_doi,gt_year,gt_authors,gt_journal,gt_country_region,review_status,note,raw_reference,created_at
35148313,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,The changing epidemiology of human monkeypox-A potential threat? A systematic review.,10.1371/journal.pntd.0010141,2022,"Bunge EM, Hoet B, Chen L, Lienert F, Weidenthaler H, Baer LR, Steffen R",PLoS neglected tropical diseases,,verified,,,2026-04-17T15:31:00.383350+00:00
35914609,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,Monkeypox infection among men who have sex with men: PCR testing on seminal fluids.,10.1016/j.jinf.2022.07.022,2022,"Raccagni AR, Candela C, Mileto D, Canetti D, Bruzzesi E, Rizzo A, Castagna A, Nozza S",The Journal of infection,,verified,,,2026-04-17T15:31:23.509944+00:00
35837964,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,"Frequent detection of monkeypox virus DNA in saliva, semen, and other clinical samples from 12 patients, Barcelona, Spain, May to June 2022.",10.2807/1560-7917.ES.2022.27.28.2200503,2022,"Peiró-Mestres A, Fuertes I, Camprubí-Ferrer D, Marcos MÁ, Vilella A, Navarro M, Rodriguez-Elena L, Riera J, Català A, Martínez MJ, Blanco JL, Hospital Clinic de Barcelona Monkeypox Study Group",Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,,verified,,,2026-04-17T15:31:51.597144+00:00
35866746,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,Monkeypox Virus Infection in Humans across 16 Countries - April-June 2022.,10.1056/NEJMoa2207323,2022,"Thornhill JP, Barkati S, Walmsley S, Rockstroh J, Antinori A, Harrison LB, Palich R, Nori A, Reeves I, Habibi MS, Apea V, Boesecke C, Vandekerckhove L, Yakubovsky M, Sendagorta E, Blanco JL, Florence E, Moschese D, Maltez FM, Goorhuis A, Pourcher V, Migaud P, Noe S, Pintado C, Maggi F, Hansen AE, Hoffmann C, Lezama JI, Mussini C, Cattelan A, Makofane K, Tan D, Nozza S, Nemeth J, Klein MB, Orkin CM, SHARE-net Clinical Group",The New England journal of medicine,,verified,,,2026-04-17T15:32:14.403627+00:00
35931095,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,Monkeypox virus isolation from a semen sample collected in the early phase of infection in a patient with prolonged seminal viral shedding.,10.1016/S1473-3099(22)00513-8,2022,"Lapa D, Carletti F, Mazzotta V, Matusali G, Pinnetti C, Meschi S, Gagliardini R, Colavita F, Mondi A, Minosse C, Scorzolini L, Cicalini S, Maffongelli G, Specchiarello E, Camici M, Bettini A, Baldini F, Francalancia M, Mizzoni K, Garbuglia AR, Nicastri E, Girardi E, Antinori A, Vaia F, Maggi F, INMI Monkeypox Study Group",The Lancet. Infectious diseases,,verified,,,2026-04-17T15:32:35.397130+00:00
36059149,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,Clinical characteristics of monkeypox virus infections among men with and without HIV: A large outbreak cohort in Germany.,10.1111/hiv.13378,2023,"Hoffmann C, Jessen H, Wyen C, Grunwald S, Noe S, Teichmann J, Krauss AS, Kolarikal H, Scholten S, Schuler C, Bickel M, Roll C, Kreckel P, Köppe S, Straub M, Klausen G, Lenz J, Esser S, Jensen B, Rausch M, Unger S, Pauli R, Härter G, Müller M, Masuhr A, Schäfer G, Seybold U, Schellberg S, Schneider J, Monin MB, Wolf E, Spinner CD, Boesecke C",HIV medicine,,verified,,,2026-04-17T15:33:03.146544+00:00
36381620,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,"Human Monkeypox in People With HIV: Transmission, Clinical Features, and Outcome.",10.1093/ofid/ofac557,2022,"Vivancos-Gallego MJ, Sánchez-Conde M, Rodríguez-Domínguez M, Fernandez-Gonzalez P, Martínez-García L, Garcia-Mouronte E, Martínez-Sanz J, Moreno-Zamora AM, Casado JL, Ron R, Galán JC, Pérez-Elías MJ, Moreno S",Open forum infectious diseases,,verified,,,2026-04-17T15:33:27.346135+00:00
35801519,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,"Monkeypox outbreak predominantly affecting men who have sex with men, Madrid, Spain, 26 April to 16 June 2022.",10.2807/1560-7917.ES.2022.27.27.2200471,2022,"Iñigo Martínez J, Gil Montalbán E, Jiménez Bueno S, Martín Martínez F, Nieto Juliá A, Sánchez Díaz J, García Marín N, Córdoba Deorador E, Nunziata Forte A, Alonso García M, Humanes Navarro AM, Montero Morales L, Domínguez Rodríguez MJ, Carbajo Ariza M, Díaz García LM, Mata Pariente N, Rumayor Zarzuelo M, Velasco Rodríguez MJ, Aragón Peña A, Rodríguez Baena E, Miguel Benito Á, Pérez Meixeira A, Ordobás Gavín M, Lopaz Pérez MÁ, Arce Arnáez A",Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,,verified,,,2026-04-17T15:33:49.637529+00:00
35785793,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,"Demographic and clinical characteristics of confirmed human monkeypox virus cases in individuals attending a sexual health centre in London, UK: an observational analysis.",10.1016/S1473-3099(22)00411-X,2022,"Girometti N, Byrne R, Bracchi M, Heskin J, McOwan A, Tittle V, Gedela K, Scott C, Patel S, Gohil J, Nugent D, Suchak T, Dickinson M, Feeney M, Mora-Peris B, Stegmann K, Plaha K, Davies G, Moore LSP, Mughal N, Asboe D, Boffito M, Jones R, Whitlock G",The Lancet. Infectious diseases,,verified,,,2026-04-17T15:34:29.059530+00:00
35830908,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,Monkeypox outbreak in Madrid (Spain): Clinical and virological aspects.,10.1016/j.jinf.2022.07.005,2022,"Orviz E, Negredo A, Ayerdi O, Vázquez A, Muñoz-Gomez A, Monzón S, Clavo P, Zaballos A, Vera M, Sánchez P, Cabello N, Jiménez P, Pérez-García JA, Varona S, Del Romero J, Cuesta I, Delgado-Iribarren A, Torres M, Sagastagoitia I, Palacios G, Estrada V, Sánchez-Seco MP, Grupo Viruela del Simio Madrid CNM/ISCIII/HCSC/Sandoval",The Journal of infection,,verified,,,2026-04-17T15:34:57.833925+00:00
